Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product weight g
799.38428,1.072,28.24119,702.05566,702.05566,0.36,20.0354,1.988,190.10001,195.0,200.0,205.0,210.0,41.2,0.664,14.597
799.56873,0.876,28.24119,675.53546,675.53546,0.36,20.06088,1.992,190.10001,194.8,199.8,205.0,209.8,45.5,0.664,14.595
799.56873,0.856,28.24119,672.81549,672.52405,0.36,20.06088,1.972,189.8,195.10001,200.10001,205.0,209.8,45.2,0.666,14.604
799.56873,0.77,28.24119,683.88983,683.88983,0.36,20.09656,1.992,189.8,195.3,199.8,205.0,209.8,45.0,0.668,14.595
799.38428,1.012,28.24119,678.93549,678.93549,0.36,20.06598,1.978,189.60001,195.5,200.10001,205.0,209.8,40.5,0.664,14.596
801.5976,1.004,28.24119,635.60956,635.60956,0.36,20.09146,1.97,189.10001,194.60001,199.60001,205.0,210.0,41.2,0.664,14.613
801.04431,0.82,28.24119,667.76404,667.76404,0.36,20.17301,1.992,187.3,192.5,198.60001,205.0,210.0,40.5,0.662,14.599
799.38428,1.196,28.24119,683.01556,683.01556,0.36,20.07107,1.968,189.60001,195.5,200.10001,205.0,209.8,40.2,0.664,14.595
801.04431,0.902,28.24119,632.01526,632.01526,0.36,19.99462,1.972,190.0,194.3,200.10001,205.10001,209.8,42.0,0.664,14.614
801.41315,0.88,28.24119,663.00397,663.00397,0.36,20.12714,2.008,187.3,192.3,198.5,205.0,210.0,40.2,0.664,14.597
801.5976,0.944,28.24119,642.70099,642.70099,0.36,20.10675,1.988,188.8,194.10001,199.60001,205.0,210.0,40.9,0.666,14.607
800.85986,0.936,28.24119,643.38104,643.38104,0.36,20.07617,1.986,190.10001,194.8,199.8,205.0,209.8,42.7,0.66,14.606
799.19983,0.89,28.24119,707.88428,707.88428,0.36,20.07107,1.98,190.0,195.3,200.10001,205.0,209.8,41.5,0.664,14.593
799.56873,0.894,28.24119,672.32977,672.32977,0.36,20.07617,1.986,189.8,194.5,199.8,205.0,209.8,45.5,0.668,14.593
801.2287,0.75,28.24119,629.10095,629.10095,0.36,20.05069,1.974,189.60001,194.60001,199.8,205.0,209.8,41.5,0.662,14.61
801.04431,0.744,28.24119,661.44971,661.44971,0.36,20.16791,2.014,187.10001,191.3,198.3,204.8,209.8,41.7,0.666,14.601
799.19983,0.978,28.24119,708.95282,708.95282,0.36,20.12204,1.964,189.60001,195.0,200.0,205.0,209.8,42.9,0.664,14.592
800.85986,1.076,28.24119,649.50104,649.50104,0.36,20.07617,2.0,190.10001,194.8,200.10001,205.0,210.0,43.2,0.662,14.601
799.56873,1.05,28.24119,679.71265,679.71265,0.36,20.12714,1.988,189.8,195.3,200.10001,205.0,209.8,45.0,0.66,14.599
801.41315,0.746,28.24119,652.80396,652.80396,0.36,20.11695,1.984,188.10001,192.60001,199.0,204.8,209.8,40.2,0.666,14.605
799.75317,0.888,28.24119,673.00977,673.00977,0.36,20.0252,1.982,190.10001,195.10001,199.8,205.0,210.0,45.4,0.662,14.6
799.38428,1.682,28.24119,708.37,708.37,0.36,20.0252,1.968,189.8,194.8,200.0,205.0,209.8,42.0,0.664,14.592
799.19983,0.884,28.24119,708.85571,708.85571,0.36,20.10675,1.98,190.0,195.0,200.0,205.0,210.0,44.0,0.666,14.583
799.38428,0.796,28.24119,687.48413,686.99841,0.36,20.08127,2.006,190.0,195.0,199.8,204.8,209.8,45.5,0.664,14.606
800.30652,0.922,28.24119,670.19263,670.19263,0.36,20.08636,1.96,189.8,195.3,200.10001,205.0,210.0,44.5,0.668,14.608
799.75317,0.97,28.24119,676.40979,676.40979,0.36,20.05578,1.99,190.0,195.0,199.8,205.0,209.8,45.5,0.664,14.598
799.56873,0.84,28.24119,674.07837,674.07837,0.36,20.09146,1.976,190.3,195.10001,199.8,205.0,210.0,45.4,0.662,14.601
799.38428,0.844,28.24119,699.72418,699.72418,0.36,20.07107,1.996,189.8,194.8,199.8,205.0,210.0,40.9,0.664,14.593
799.56873,0.904,28.24119,678.93549,678.93549,0.36,20.09146,1.978,190.0,195.0,199.60001,205.0,209.8,45.5,0.664,14.602
800.85986,0.866,28.24119,645.80957,645.80957,0.36,20.07107,1.976,190.0,195.0,199.8,204.8,209.8,42.7,0.664,14.61
801.04431,0.832,28.24119,636.87238,636.87238,0.36,20.07107,1.964,189.8,194.8,199.8,205.0,209.8,42.2,0.666,14.608
801.41315,1.072,28.24119,631.62665,631.62665,0.36,20.07107,1.98,190.0,194.60001,199.8,205.0,209.8,41.9,0.664,14.617
799.56873,0.96,28.24119,710.99286,710.99286,0.36,20.14753,1.972,190.0,195.0,199.8,204.8,209.8,43.9,0.666,14.591
799.56873,1.02,28.24119,685.54126,685.54126,0.36,20.04049,2.002,189.60001,194.8,199.8,205.0,209.8,45.7,0.664,14.596
799.01538,0.898,28.24119,703.22137,703.22137,0.36,20.10675,1.966,190.0,194.60001,199.8,204.8,209.8,42.5,0.664,14.589
801.41315,0.742,28.24119,660.67255,660.67255,0.36,20.12204,1.988,188.8,193.60001,199.3,205.0,210.0,40.7,0.664,14.607
799.19983,0.932,28.24119,710.99286,710.99286,0.36,20.07617,1.988,189.8,194.60001,200.0,205.0,209.8,43.5,0.662,14.594
800.12207,0.88,28.24119,675.0498,675.0498,0.36,19.99462,1.982,189.8,195.3,199.8,205.0,210.0,44.5,0.666,14.61
801.41315,0.692,28.24119,654.74677,654.74677,0.36,20.07107,2.01,188.60001,193.8,199.3,205.10001,210.0,40.9,0.666,14.604
799.75317,0.926,28.24119,678.54694,678.54694,0.36,20.09656,1.982,190.0,194.8,200.0,205.0,209.8,45.5,0.662,14.598
799.56873,1.122,28.24119,695.35278,695.35278,0.36,20.0303,1.97,189.5,194.60001,199.8,205.0,209.8,40.0,0.662,14.593
800.49097,1.036,28.24119,671.55261,671.55261,0.36,20.04049,1.986,189.8,195.3,200.10001,205.0,209.8,44.2,0.664,14.604
800.67542,1.188,28.24119,633.95807,633.95807,0.36,20.13224,1.96,189.8,194.8,200.0,205.0,209.8,43.9,0.662,14.611
799.38428,1.288,28.24119,711.86713,711.67285,0.36,20.10675,1.982,189.8,195.10001,200.0,205.0,210.0,44.2,0.664,14.587
801.04431,0.846,28.24119,650.66675,650.66675,0.36,20.09146,1.994,190.10001,194.8,200.0,205.0,209.8,42.0,0.66,14.616
801.5976,0.944,28.24119,661.0611,661.0611,0.36,20.11185,2.008,188.8,193.8,199.60001,205.0,210.0,40.7,0.668,14.616
801.41315,1.006,28.24119,633.37524,633.37524,0.36,20.13733,1.986,189.8,194.60001,199.8,205.0,209.8,41.7,0.662,14.614
799.93762,0.89,28.24119,642.50671,642.50671,0.36,20.10675,1.95,190.0,195.10001,200.0,204.8,209.8,44.7,0.662,14.606
799.19983,0.946,28.24119,676.31262,676.31262,0.36,20.09146,1.96,189.8,194.8,199.8,205.0,210.0,40.0,0.666,14.601
799.93762,1.146,28.24119,669.41547,669.41547,0.36,20.06598,1.986,189.8,194.60001,199.8,205.0,210.0,44.9,0.664,14.601
800.49097,0.842,28.24119,650.76392,650.76392,0.36,19.98443,1.998,190.0,194.60001,200.10001,205.0,209.8,44.0,0.664,14.604
799.56873,0.976,28.24119,681.94696,681.84979,0.36,20.08636,1.956,189.60001,195.5,200.10001,205.0,209.8,44.2,0.66,14.598
801.5976,0.77,28.24119,651.92963,651.92963,0.36,20.12204,1.988,188.60001,193.5,199.3,205.0,210.0,40.7,0.66,14.604
799.56873,1.262,28.24119,678.44977,678.44977,0.36,20.08636,1.982,189.8,194.60001,199.8,204.8,209.8,45.0,0.662,14.602
800.49097,0.678,28.24119,638.91241,638.91241,0.36,20.00482,1.972,187.0,191.3,198.5,205.0,209.8,43.4,0.662,14.596
799.93762,0.756,28.24119,648.91821,648.91821,0.36,20.05578,1.976,190.10001,195.10001,199.8,204.8,209.8,44.7,0.666,14.608
799.38428,1.182,28.24119,708.85571,708.66138,0.36,20.06598,1.976,189.8,195.3,200.0,205.0,209.8,41.5,0.664,14.589
799.56873,1.172,28.24119,678.6441,678.6441,0.36,20.07617,1.978,189.8,195.0,199.8,205.0,210.0,43.2,0.668,14.601
799.38428,0.9,28.24119,676.99261,676.99261,0.36,20.10675,1.98,189.8,195.0,199.8,204.8,210.0,40.2,0.666,14.588
799.38428,0.976,28.24119,707.30139,707.30139,0.36,20.12204,1.97,189.8,195.0,200.0,204.8,209.8,42.7,0.664,14.59
799.19983,0.98,28.24119,686.22125,686.22125,0.36,20.08636,1.962,189.3,194.8,199.60001,205.0,209.8,40.0,0.66,14.593
800.30652,0.9,28.24119,641.53528,641.53528,0.36,20.09656,1.962,189.8,194.60001,199.8,204.8,209.8,44.0,0.664,14.607
799.19983,0.884,28.24119,710.2157,710.2157,0.36,20.09146,1.974,190.10001,194.8,199.8,205.0,210.0,44.2,0.666,14.589
799.93762,1.19,28.24119,660.284,660.284,0.36,20.13224,1.966,189.8,195.10001,200.10001,205.0,210.0,44.5,0.662,14.602
800.49097,0.814,28.24119,633.66669,633.66669,0.36,20.08636,1.96,189.8,194.8,200.0,205.0,209.8,43.7,0.664,14.607
799.56873,0.798,28.24119,660.18683,660.18683,0.36,20.0354,1.97,190.10001,194.8,199.8,205.0,209.8,45.4,0.662,14.598
801.5976,1.052,28.24119,633.0838,633.0838,0.36,20.11695,1.974,189.5,194.60001,199.60001,205.0,209.8,41.4,0.666,14.613
799.56873,0.858,28.24119,678.06122,678.06122,0.36,20.09146,1.994,189.60001,195.10001,200.0,205.0,210.0,43.9,0.666,14.599
799.19983,0.89,28.24119,705.5528,705.5528,0.36,20.05069,1.986,189.60001,194.8,199.8,205.0,209.8,42.7,0.664,14.594
799.19983,0.92,28.24119,708.07855,708.07855,0.36,20.09146,1.994,190.0,194.8,200.0,205.0,210.0,41.9,0.664,14.589
799.19983,0.946,28.24119,704.09564,704.09564,0.36,20.12204,1.988,189.8,194.8,199.8,205.0,210.0,42.2,0.666,14.582
799.93762,0.952,28.24119,667.66687,667.66687,0.36,20.08127,1.974,189.8,195.3,200.0,205.0,209.8,44.4,0.662,14.61
799.19983,1.07,28.24119,713.61572,713.61572,0.36,20.11695,1.978,190.0,195.3,200.10001,205.0,210.0,43.0,0.668,14.591
799.38428,0.948,28.24119,687.5813,687.28986,0.36,20.10165,1.972,189.5,194.3,199.60001,205.0,209.8,39.9,0.664,14.582
801.2287,0.84,28.24119,646.78101,646.78101,0.36,20.04049,1.992,190.0,194.60001,200.10001,205.0,209.8,42.0,0.662,14.609
799.38428,0.924,28.24119,686.22125,686.22125,0.36,20.08636,1.972,189.5,195.10001,199.8,204.8,209.8,40.0,0.664,14.596
801.04431,1.176,28.24119,646.48962,646.48962,0.36,20.0303,1.976,190.10001,194.60001,199.8,205.0,209.8,42.2,0.664,14.61
799.19983,0.844,28.24119,714.39288,714.39288,0.36,20.05578,1.968,190.10001,195.60001,200.10001,205.0,209.8,43.2,0.662,14.593
801.04431,0.836,28.24119,646.48962,646.48962,0.36,20.07617,1.978,190.0,194.8,199.60001,204.8,209.8,42.4,0.664,14.612
799.19983,0.868,28.24119,708.27283,708.27283,0.36,20.09656,1.974,190.10001,195.3,200.0,205.0,209.8,43.2,0.666,14.588
799.38428,1.176,28.24119,694.28418,694.28418,0.36,20.00991,1.994,189.3,195.10001,199.8,205.0,209.8,40.0,0.662,14.589
801.04431,0.948,28.24119,649.11249,649.11249,0.36,20.06598,1.984,190.0,194.8,199.8,205.0,209.8,42.5,0.66,14.608
799.01538,0.886,28.24119,715.07288,714.8786,0.36,20.16282,1.988,190.0,194.8,200.0,205.0,209.8,44.0,0.664,14.588
801.5976,0.86,28.24119,633.18097,633.18097,0.36,20.11695,1.984,189.5,194.60001,200.0,205.0,210.0,41.4,0.666,14.612
799.75317,0.92,28.24119,663.78113,663.78113,0.36,20.10165,1.968,189.8,195.10001,200.0,204.8,210.0,44.5,0.664,14.607
799.75317,1.028,28.24119,676.21552,676.21552,0.36,20.08636,1.968,189.60001,194.60001,199.8,204.8,209.8,42.5,0.662,14.6
799.38428,0.898,28.24119,681.94696,681.94696,0.36,20.04049,1.976,190.10001,195.10001,200.0,204.8,210.0,40.7,0.666,14.593
800.49097,0.902,28.24119,646.6839,646.6839,0.36,20.04049,2.002,190.0,194.60001,199.8,205.0,210.0,43.2,0.664,14.609
800.67542,0.882,28.24119,639.20386,639.20386,0.36,20.06598,1.976,189.8,195.3,200.10001,205.0,209.8,43.7,0.664,14.61
799.56873,1.048,28.24119,673.39832,673.39832,0.36,20.07617,1.994,190.0,195.10001,199.8,205.0,209.8,45.7,0.664,14.593
800.30652,0.844,28.24119,664.84973,664.84973,0.36,20.0252,1.99,190.0,195.0,199.8,205.0,210.0,44.0,0.662,14.611
799.01538,0.95,28.24119,705.45569,705.45569,0.36,20.06598,1.966,189.8,195.10001,200.0,205.0,209.8,43.0,0.664,14.588
799.38428,1.082,28.24119,708.4671,708.4671,0.36,20.10165,1.976,190.0,195.10001,199.8,205.0,210.0,42.2,0.664,14.588
799.75317,1.098,28.24119,672.03833,672.03833,0.36,20.08636,1.974,189.60001,194.8,199.8,205.0,210.0,45.2,0.664,14.595
799.01538,0.884,28.24119,713.71289,713.71289,0.36,20.11185,1.98,190.0,195.3,200.0,205.0,209.8,44.4,0.662,14.586
801.2287,0.792,28.24119,669.02686,669.02686,0.36,20.14243,1.998,187.3,191.60001,198.5,204.8,210.0,41.2,0.666,14.605
799.75317,0.92,28.24119,676.70123,676.60406,0.36,20.07107,1.972,189.8,195.60001,200.10001,205.0,209.8,44.9,0.664,14.596
799.56873,0.804,28.24119,672.2326,672.2326,0.36,20.06088,1.986,190.3,194.60001,199.8,205.0,209.8,45.5,0.668,14.608
800.30652,1.096,28.24119,675.24408,675.24408,0.36,20.06088,1.984,189.8,195.10001,200.0,205.0,209.8,44.2,0.668,14.601
799.19983,0.942,28.24119,703.70709,703.70709,0.36,20.08636,1.984,190.10001,195.5,200.10001,205.0,209.8,43.2,0.66,14.587
799.19983,0.928,28.24119,717.4043,717.4043,0.36,20.11695,1.992,189.8,195.0,200.0,205.0,210.0,44.4,0.662,14.586
799.75317,0.828,28.24119,664.46112,664.46112,0.36,20.09146,1.98,190.0,194.60001,199.8,205.0,209.8,44.7,0.666,14.601
801.2287,1.036,28.24119,644.64386,644.64386,0.36,20.06598,1.97,190.0,195.0,199.8,204.8,209.8,42.2,0.666,14.611
799.56873,0.964,28.24119,700.69562,700.69562,0.36,20.07107,1.99,190.0,194.8,200.0,205.0,209.8,41.2,0.664,14.589
800.85986,1.09,28.24119,642.11816,642.11816,0.36,20.02011,1.988,190.10001,194.8,200.10001,205.0,209.8,43.0,0.666,14.612
801.41315,0.79,28.24119,656.10681,656.10681,0.36,20.04049,2.016,188.5,193.10001,199.0,205.0,210.0,40.5,0.662,14.602
799.19983,1.078,28.24119,708.66138,708.66138,0.36,20.09656,1.976,190.0,195.10001,200.10001,205.0,209.8,41.4,0.664,14.59
799.38428,1.282,28.24119,712.74146,712.74146,0.36,20.09146,1.978,190.0,195.10001,199.8,205.0,209.8,43.4,0.666,14.594
799.75317,0.91,28.24119,669.90118,669.60974,0.36,20.08127,1.98,189.8,194.60001,199.8,205.0,210.0,44.9,0.662,14.603
